x;exp
0;0,001794
1;0,000755
2;0,000392
3;0,00029
4;0,000232
5;0,000189
6;0,000156
7;0,000131
8;0,000131
9;0,000134
10;0,00014
11;0,000148
12;0,000158
13;0,00017
14;0,000183
15;0,000197
16;0,000212
17;0,000228
18;0,000244
19;0,00026
20;0,000277
21;0,000294
22;0,000312
23;0,00033
24;0,000349
25;0,000367
26;0,000385
27;0,000403
28;0,000419
29;0,000435
30;0,00045
31;0,000463
32;0,000476
33;0,000488
34;0,0005
35;0,000515
36;0,000534
37;0,000558
38;0,00059
39;0,00063
40;0,000677
41;0,000732
42;0,000796
43;0,000868
44;0,00095
45;0,001043
46;0,001148
47;0,001267
48;0,0014
49;0,001548
50;0,00171
51;0,001888
52;0,002079
53;0,002286
54;0,002507
55;0,002746
56;0,003003
57;0,00328
58;0,003578
59;0,003907
60;0,004277
61;0,004699
62;0,005181
63;0,005732
64;0,006347
65;0,007017
66;0,007734
67;0,008491
68;0,009288
69;0,010163
70;0,011165
71;0,012339
72;0,013734
73;0,015391
74;0,017326
75;0,019551
76;0,022075
77;0,02491
78;0,028074
79;0,031612
80;0,03558
81;0,04003
82;0,045017
83;0,0506
84;0,056865
85;0,063907
86;0,071815
87;0,080682
88;0,090557
89;0,101307
90;0,112759
91;0,124733
92;0,137054
93;0,149552
94;0,162079
95;0,174492
96;0,186647
97;0,198403
98;0,210337
99;0,223027
100;0,237051
101;0,252985
102;0,271406
103;0,292893
104;0,318023
105;0,347373
106;0,38152
107;0,421042
108;0,466516
109;0,51852
110;0,577631
111;0,644427
112;0,719484
113;0,80338
114;0,896693
115;1
