x;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BASICA - FEMALE;GAM83_BASICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos
0; ;0,154700;0,001615;0,002080;0,001794;0,002311;0,003210;0,004040;; ; ;;0,001835;;0,002690;0,001280;0,002740;0,000380;0,002000;0,0004151;0,0003911;0,0003438;0,0003372;0,0003545;0,0003708;0,0002926;0,0003527;0,008320;0,022580;0,007080;0,003942;0,006200;0,004430;0,007080;0,005480;0,006330;0,004180;;0,002219;0,003255;;;;;;;0,024891;0,024036;0,023295;0,022467
1; ;0,063490;0,000680;0,000815;0,000755;0,000906;0,001360;0,001580;; ; ;;0,000778;;0,001053;0,000460;0,000950;0,000380;0,000690;0,0001843;0,0002025;0,0001527;0,0001568;0,0002256;0,0002421;0,0001921;0,0002264;0,002070;0,005770;0,001760;0,001540;0,001670;0,001640;0,001760;0,000940;0,001000;0,001070;;0,000940;0,001274;;;;;0,000531;0,000592;0,002292;0,002182;0,002291;0,002152
2; ;0,035500;0,000353;0,000454;0,000392;0,000504;0,000703;0,000887;; ; ;;0,000402;;0,000591;0,000250;0,000480;0,000200;0,000350;0,0001048;0,0001350;0,0001159;0,0000941;0,0001953;0,0002129;0,0001546;0,0001963;0,001790;0,004140;0,001520;0,001380;0,001410;0,001490;0,001520;0,000670;0,000750;0,000990;;0,000486;0,000715;;;;;0,000346;0,000400;0,001255;0,001198;0,001188;0,001132
3; ;0,023910;0,000261;0,000367;0,000290;0,000408;0,000521;0,000715;; ; ;;0,000298;;0,000476;0,000160;0,000300;0,000130;0,000220;0,0000732;0,0001068;0,0000791;0,0000688;0,0001801;0,0001991;0,0001342;0,0001814;0,001720;0,003380;0,001460;0,001320;0,001350;0,001430;0,001460;0,000600;0,000680;0,000980;;0,000360;0,000576;;;;;0,000258;0,000332;0,000922;0,000880;0,000778;0,000750
4; ;0,017700;0,000209;0,000321;0,000232;0,000357;0,000419;0,000627;; ; ;;0,000240;;0,000417;0,000120;0,000220;0,000100;0,000160;0,00006;0,0000948;0,0000576;0,0000582;0,0001711;0,0001916;0,0001214;0,0001727;0,001650;0,002990;0,001400;0,001265;0,001290;0,001375;0,001400;0,000530;0,000610;0,000950;;0,000290;0,000505;;;;;0,000194;0,000259;0,000699;0,000659;0,000568;0,000552
5; ;0,013600;0,000171;0,000291;0,000189;0,000324;0,000339;0,000566;;0,000370;0,000460;0,000215;0,000194;0,000419;0,000377;0,000100;0,000180;0,000080;0,000130;0,0000551;0,0000906;0,0000494;0,0000543;0,0001655;0,0001877;0,0001132;0,0001674;0,001590;0,002760;0,001350;0,001215;0,001240;0,001325;0,001350;0,000470;0,000550;0,000900;;0,000234;0,000456;0,000171;0,000190;0,000380;0,000342;0,000175;0,000237;0,000479;0,000469;0,000442;0,000432
6; ;0,011370;0,000141;0,000270;0,000156;0,000301;0,000278;0,000526;;0,000380;0,000420;0,000178;0,000160;0,000389;0,000350;0,000090;0,000160;0,000070;0,000120;0,0000543;0,0000909;0,0000471;0,0000539;0,0001622;0,0001862;0,0001088;0,0001642;0,001530;0,002610;0,001300;0,001170;0,001190;0,001280;0,001300;0,000410;0,000490;0,000860;;0,000193;0,000424;0,000140;0,000156;0,000353;0,000318;0,000163;0,000227;0,000385;0,000372;0,000360;0,000354
7; ;0,009750;0,000118;0,000257;0,000131;0,000286;0,000234;0,000500;;0,000390;0,000400;0,000149;0,000134;0,000370;0,000333;0,000090;0,000150;0,000070;0,000110;0,0000558;0,0000938;0,0000475;0,0000555;0,0001608;0,0001867;0,0001090;0,0001629;0,001480;0,002470;0,001260;0,001135;0,001150;0,001245;0,001260;0,000360;0,000440;0,000800;;0,000162;0,000403;0,000118;0,000131;0,000336;0,000302;0,000153;0,000217;0,000314;0,000301;0,000306;0,000302
8; ;0,008630;0,000118;0,000294;0,000131;0,000328;0,000207;0,000487;;0,000400;0,000390;0,000149;0,000134;0,000391;0,000352;0,000090;0,000150;0,000080;0,000110;0,0000588;0,0000987;0,0000496;0,0000584;0,0001622;0,0001895;0,0001149;0,0001634;0,001450;0,002310;0,001230;0,001115;0,001120;0,001220;0,001230;0,000320;0,000400;0,000760;;0,000143;0,000392;0,000104;0,000116;0,000327;0,000294;0,000137;0,000201;0,000281;0,000269;0,000271;0,000268
9; ;0,007900;0,000121;0,000325;0,000134;0,000362;0,000193;0,000482;;0,000410;0,000390;0,000151;0,000136;0,000409;0,000368;0,000110;0,000160;0,000090;0,000120;0,0000627;0,0001052;0,0000526;0,0000624;0,0001676;0,0001961;0,0001271;0,0001663;0,001420;0,002120;0,001210;0,001110;0,001110;0,001210;0,001210;0,000300;0,000370;0,000740;;0,000134;0,000389;0,000097;0,000108;0,000324;0,000292;0,000130;0,000194;0,000273;0,000261;0,000251;0,000248
